Year	Hydro [MW]	Natural Gas [MW]	Coal [MW]	Oil [MW]	Bagasse [MW]	Biogas [MW]	Jet Fuel [MW]	Gas-JetFuel [MW]	Solar [MW]	Wind [MW]
2006	8947	3460	702	130	22	0	0	0	0	19.5
2007	8991	3550	702	130	22	0	0	0	0	19.5
2008	8997	3552	702	187	22	0	0	0	0	19.5
2009	8997	3293	853	314	33	0	0	0	0	19.5
2010	9044	3020	853	314	53	0	0	0	0	19.5
2011	9718	3746	703	187	55	0	0	0	0	19.5
2012	9777	2484	997	913	57	0	46	0	0	19.5
2013	9868	1850	1002	1429	61	0	46	276	0	19.5
2014	10920	1839	1172	1402	72	0	46	276	0	19.5
2015	11501	1619	1348	1546	77	0	46	264	0	19.5
2016	11611	2093	1348	1118	94	2	46	264	0	19.5
