Electricity demand Colombia 2013 [MW],Electricity demand Colombia 2015 [MW],Electricity demand Colombia 2014 [MW],Electricity demand Colombia 2016 [MW],Electricity demand Colombia 2012 [MW],Daily natural water inflows time series 2010 [GW],Daily natural water inflows time series 2009 [GW],Daily natural water inflows time series 2014 [GW],Daily natural water inflows time series 2012 [GW],Daily natural water inflows time series 2016 [GW],Daily natural water inflows time series 2007 [GW],Table 1, Installed capacity in Colombia 2006-2016,Daily natural water inflows time series 2011 [GW],Daily natural water inflows time series 2006 [GW],Daily natural water inflows time series 2015 [GW],Hourly average hydropower generation ENSO-NINO [MW],Hourly hydropower generation 2014 [MW],Daily natural water inflows time series 2013 [GW],Daily natural water inflows time series 2008 [GW],Hourly average hydropower generation ENSO-NINA [MW],3, Wind_generation_Colombia2014 - Installed cap, 19,5 MW,6, Wind_generation_ENSO-NINO,5, Solar_generation_ENSO- NINA,2, Estimated Wind generation - Installed cap, 658 MW,1, Estimated Solar PV generation - Installed cap, 520 MW,4, Solar_generation_ENSO-NINO,7, Wind_generation_ENSO-NINA,ExportsTotal 2012 MW,ExportsTotal 2016 MW,ImportsTotal 2015 MW,ExportsTotal 2014 MW,ImportsTotal 2013 MW,ExportsTotal 2013 MW,ImportsTotal 2012 MW,ImportsTotal 2016 MW,ExportsTotal 2015 MW,ImportsTotal 2014 MW
5754.0,6069.88,6237.74599,6315.56,5704.0,45.62,91.36,88.29,108.04,63.5,59.37,,,104.6,55.18,66.25,2423.621,4224.64603,64.94,78.84,4775.296765,6.41616,,,,326.84,,0.0,,416.09,,,0.0,,,0.0,,213.52,,10.66,0.65,0.0,291.5,0.0,0.82,0.0,0.0,0.74,0.0
5519.0,5827.25,6006.22452,6139.46,5371.0,43.1,80.43,81.41,109.26,55.78,70.43,,,106.86,59.73,64.88,2193.202,3916.76549,69.61,81.24,4540.974035,4.79236,,,,302.41,,0.0,,422.69,,,0.0,,,0.0,,249.61,,0.06,0.09,0.24,291.23,0.0,0.36,0.87,0.92,0.0,0.0
5239.0,5574.38,5723.68895,5934.56,5052.0,43.4,158.69,99.23,174.76,61.74,62.26,,,105.25,61.14,64.37,1890.317,3649.41612,63.96,77.68,4235.410985,4.86873,,,,299.31,,0.0,,428.66,,,0.0,,,0.0,,231.98,,1.22,0.12,0.0,290.44,0.5,0.09,0.0,0.79,1.27,0.0
4991.0,5395.87,5468.91281,5715.72,4818.0,40.41,168.0,85.18,142.5,70.14,62.29,,,144.52,79.21,57.18,1622.02,3727.94469,56.19,75.56,3936.844555,6.11451,,,,297.58,,0.0,,434.93,,,0.0,,,0.0,,262.41,,0.36,0.12,0.04,274.12,1.05,0.12,0.0,0.33,0.0,0.0
4825.0,5258.9,5254.70454,5550.86,4673.0,41.19,95.23,83.82,179.57,64.12,65.3,,,157.49,88.6,55.49,1435.415,3584.2136,57.78,66.15,3751.25408,5.90758,,,,298.66,,0.0,,401.88,,,0.0,,,0.0,,216.02,,1.15,0.12,0.0,202.11,0.0,0.78,0.0,0.36,0.83,0.0
4687.0,5119.88,5068.13183,5455.47,4554.0,41.73,101.49,142.86,161.27,66.52,66.15,,,124.62,94.46,59.27,1546.694,3396.69125,58.86,91.06,3639.49134,7.87544,,,,308.62,,0.0,,364.92,,,0.0,,,0.0,,119.82,,0.05,1.84,0.0,150.15,0.0,0.45,0.0,0.0,0.57,0.0
4248.0,4669.97,4498.90902,5027.48,4193.0,39.73,91.64,124.67,137.06,66.29,61.56,,,136.84,108.66,53.7,1349.515,2861.64135,51.3,89.73,3245.98339,7.79675,,,,308.69,,0.0,,324.8,,,0.0,,,0.0,,113.31,,0.0,0.12,2.2,24.32,1.44,0.09,2.06,0.94,0.0,0.0
4307.0,4683.66,4488.29843,5078.97,4286.0,37.08,89.5,106.6,120.58,56.88,69.49,,,132.77,112.49,49.43,1347.731,2884.16728,46.44,75.71,3269.08784,6.72227,,,,336.32,,0.0,,279.3,,,0.0,,,0.0,,65.35,,1.72,1.76,0.0,1.27,0.0,0.25,0.0,0.0,0.42,0.0
4519.0,4900.21,4677.32645,5311.39,4535.0,46.89,90.14,108.92,111.34,58.53,81.92,,,156.84,94.56,57.62,1406.594,3071.5482,44.43,116.67,3450.14723,9.05694,,,,383.02,,55.49,,233.15,,,59.63,,,53.1,,66.88,,1.1,1.53,0.0,1.79,0.0,1.16,0.0,0.0,0.76,0.0
4733.0,5102.76,4913.79183,5522.92,4772.0,44.91,94.32,99.82,107.79,55.7,73.61,,,129.1,86.5,52.98,1520.908,3296.41943,49.54,125.08,3648.151005,9.64655,,,,333.45,,131.24,,189.06,,,134.89,,,175.47,,181.53,,3.94,0.48,0.0,1.51,0.0,0.98,0.0,0.0,1.14,0.0
